TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
1/1/2018,21,28.2,23.5,88,0,6,4,120,1,E 
1/2/2018,21,29.2,23.9,91,2.3,1.4,3,40,2,N 
1/3/2018,21,30,24.4,87,2,7,2,30,1,NE
1/4/2018,21,30.2,22.6,94,45,7,3,360,2,N 
1/5/2018,22,28,23.9,86,48,1.5,3,360,2,N 
1/6/2018,21,29.4,23.6,87,27,4.5,4,100,2,SW
1/7/2018,21,30.1,22.2,92,1,3,4,360,1,SW
1/8/2018,21,28.6,23.8,90,44,1.5,7,360,2,N 
1/9/2018,21,29.2,24.3,87,0.3,7,5,330,2,N 
1/10/2018,20,27.4,22.7,92,7,7,12,250,2,SE
1/11/2018,21,30,23.6,91,6,2.5,4,290,2,N 
1/12/2018,21,27,24.1,88,8,1,6,300,2,NW
1/13/2018,22,26,23.4,93,7.5,0.4,5,300,2,NW
1/14/2018,21,26.4,24.2,84,4.1,2,6,290,3,N 
1/15/2018,21,28.5,24,80,0,0,5,340,3,W 
1/16/2018,20,27.8,23,93,0,1,5,320,3,N 
1/17/2018,20,27,23.1,91,85,3,5,320,2,NW
1/18/2018,20,27.8,23.2,95,3,5.6,4,350,2,N 
1/19/2018,20,28,22.1,94,40,1,6,250,2,W 
1/20/2018,20,26,22.8,91,16,2,7,240,3,NW
1/21/2018,21,26.8,23.2,89,0,1,8,290,5,W 
1/22/2018,21,26.4,23.4,91,0,1,10,320,4,N 
1/23/2018,21,27.5,23.2,91,4,2,5,290,2,NW
1/24/2018,21,28.2,23.9,92,4,4.2,5,340,3,N 
1/25/2018,22,27.6,24,91,1,5.3,7,240,4,W 
1/26/2018,21.3,28,23.7,88,2,2,5,270,3,W 
1/27/2018,22,28,25,89,38,4.5,4,350,3,W 
1/28/2018,21,25.4,23.1,91,9,7,4,280,3,W 
1/29/2018,21,27,23.8,89,3,0.5,7,280,4,W 
1/30/2018,21,29.2,24.1,83,1,1.5,5,280,4,W 
1/31/2018,21,29.6,24,85,1,7,4,70,2,N 
2/1/2018,21,28,23.6,93,8,3.5,5,30,3,N 
2/2/2018,21,28,23.6,91,18,4,4,340,2,N 
2/3/2018,20,23.8,21.9,96,13,5,4,300,3,W 
2/4/2018,20,28,22.6,95,16,0,5,340,2,W 
2/5/2018,20,27,23.6,93,63,5.5,2,20,2,NE
2/6/2018,21,28,23.7,91,0,2,6,330,3,NW
2/7/2018,19,29.2,22.6,93,16,6.5,5,310,3,N 
