;Waktu;Jalan;Lat;Long;JarakLampu;Tahun
Senin, 01 Januari 2018 Jam. 01.20 Wib;malam;Lokal;-7.590616667;112.1009417;618.6664368;2018
Senin, 01 Januari 2018 Jam. 01.00 Wib;malam;KolektorPrimer;-7.731097222;112.0230222;1299.354809;2018
Senin, 01 Januari 2018 Jam. 18.30 Wib;malam;KolektorPrimer;-7.645877778;112.0142722;741.3067517;2018
Selasa, 02 Januari 2018 Jam. 01.00 Wib;malam;ArteriPrimer;-7.577336111;111.8683444;478.3938151;2018
Selasa, 02 Januari 2018 Jam. 07.30 Wib;siang;ArteriPrimer;-7.592894444;111.8926167;2.611842779;2018
Selasa, 02 Januari 2018 Jam. 13.00 Wib;siang;KolektorPrimer;-7.614941667;111.8987028;276.9380796;2018
Rabu, 03 Januari 2018 Jam. 09.30 Wib;siang;ArteriPrimer;-7.606747222;112.0677389;1018.752102;2018
Rabu, 03 Januari 2018 Jam. 18.30 Wib;malam;ArteriPrimer;-7.583736111;111.8784806;2.784158688;2018
Kamis, 04 Januari 2018 Jam. 03.00 Wib;malam;ArteriPrimer;-7.590513889;111.8905583;28.01040195;2018
Kamis, 04 Januari 2018 Jam. 09.30 Wib;siang;KolektorPrimer;-7.646036111;112.0142139;759.7253406;2018
Kamis, 04 Januari 2018 Jam. 13.40 Wib;siang;KolektorPrimer;-7.698741667;112.0199611;999.3539872;2018
Kamis, 04 Januari 2018 Jam. 09.45 Wib;siang;Lokal;-7.609888889;111.9312889;806.6124275;2018
Jumat, 05 Januari 2018 Jam. 11.30 Wib;siang;KolektorSekunder;-7.6758;111.8332417;1215.10172;2018
Sabtu, 06 Januari 2018 Jam. 15.20 Wib;siang;ArteriPrimer;-7.601175;112.0957;41.98726693;2018
Minggu, 07 Januari 2018 Jam. 09.30 Wib;siang;ArteriPrimer;-7.591127778;111.8898583;72.16161638;2018
Senin, 08 Januari 2018 Jam. 15.00 Wib;siang;Lokal;-7.581466667;112.0727056;1431.310639;2018
Selasa, 09 Januari 2018 Jam. 05.30 Wib;malam;KolektorPrimer;-7.604861111;111.8994917;231.128593;2018
Selasa, 09 Januari 2018 Jam. 05.00 Wib;malam;KolektorSekunder;-7.676247222;111.8306528;1505.067607;2018
Selasa, 09 Januari 2018 Jam. 07.15 Wib;siang;KolektorSekunder;-7.595633333;111.9046222;430.6725685;2018
Selasa, 09 Januari 2018 Jam. 07.30 Wib;siang;Lokal;-7.597027778;111.9061667;456.1128967;2018
Selasa, 09 Januari 2018 Jam. 13.40 Wib;siang;ArteriPrimer;-7.601225;112.1040056;13.03596188;2018
Selasa 09 Januari 2018 Jam. 13.45 Wib;siang;ArteriPrimer;-7.603538889;112.0217667;14.13942194;2018
Selasa, 09 Januari 2018 Jam. 19.30 Wib;malam;KolektorPrimer;-7.715797222;112.0261639;794.0387897;2018
Rabu, 10 Januari 2018 Jam. 18.45 Wib;malam;Lokal;-7.665536111;111.8961444;2262.751205;2018
Kamis, 11 Januari 2018 Jam. 18.30 Wib;malam;KolektorPrimer;-7.614355556;111.8970278;435.4248829;2018
Kamis 11 Januari 2018 Jam. 18.30 Wib ;malam;KolektorPrimer;-7.675702778;112.0157583;854.9509366;2018
Sabtu, 13 Januari 2018 Jam. 04.00 Wib;malam;ArteriPrimer;-7.605488889;111.9989667;2.01033669;2018
Sabtu, 13 Januari 2018 Jam. 09.00 Wib;siang;ArteriPrimer;-7.603047222;111.9556833;1311.895132;2018
Sabtu, 13 Januari 2018 Jam. 16.30 Wib;siang;KolektorPrimer;-7.643980556;112.0143278;532.9213324;2018
Sabtu, 13 januari 2018 Jam. 18.30 Wib;malam;Lokal;-7.636544444;111.9340972;2156.401838;2018
Minggu, 14 Januari 2018 Jam. 08.30 Wib;siang;ArteriPrimer;-7.603230556;112.10315;255.6457955;2018
Minggu, 14 Januari 2018 Jam. 12.30 Wib;siang;KolektorPrimer;-7.648961111;112.0137444;1055.168511;2018
Minggu, 14 Januari 2018 Jam. 12.00 Wib;siang;Lokal;-7.645322222;112.06725;4363.9118;2018
Minggu, 14 Januari 2018 Jam. 18.30 Wib;malam;KolektorPrimer;-7.711541667;112.0227083;928.6518636;2018
Minggu, 14 Januari 2018 Jam. 22.30 Wib;malam;ArteriPrimer;-7.602880556;112.0319333;1039.430618;2018
Senin, 15 Januari 2018 Jam. 09.30 Wib;siang;KolektorSekunder;-7.653119444;111.9734333;2133.32529;2018
Senin, 15 Januari 2018 Jam. 17.00 Wib;siang;ArteriPrimer;-7.601175;112.0957667;34.82517006;2018
Selasa, 16 Januari 2018 Jam. 20.00 Wib;malam;ArteriPrimer;-7.601247222;111.9129722;197.4137904;2018
Rabu, 17 Januari 2018 Jam. 06.30 Wib;siang;ArteriPrimer;-7.597913889;111.8985222;270.1213296;2018
Rabu, 17 Januari 2018 Jam. 13.30 Wib;siang;Lokal;-7.580230556;112.1109417;1185.677576;2018
Rabu, 17 Januari 2018 Jam. 12.00 Wib;siang;ArteriPrimer;-7.603269444;112.0252583;400.6882376;2018
Rabu, 17 Januari  2018 Jam. 19.30 WIB;malam;ArteriPrimer;-7.600477778;111.92025;644.7490825;2018
